id,author_id,full_name,others,university,subjects,document_by_author,total_citation_number,total_document,h_index
51,7101801755,"Bethke Siegfried","Bethke, S.| Bethke, Siggi","Max Planck Institut  für Physik (Werner-Heisenberg-Institut), Munich, Germany","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Chemistry",1387,80650,39060,102
52,7006875836,"Biebel Otmar","Biebel, O.","Ludwig-Maximilians-Universität München, Munich, Germany","Physics and Astronomy, Engineering, Mathematics, Multidisciplinary, Medicine, Energy, Computer Science, Biochemistry Genetics and Molecular Biology, Chemistry",1272,96179,54294,101
53,7003971847,"Binder U.",NA,"Universität Freiburg im Breisgau, Freiburg im Breisgau, Germany","Physics and Astronomy",118,5980,4071,42
54,35350908200,"Bloodworth I. J.","Bloodworth, I.","University of Birmingham, Birmingham, United Kingdom","Physics and Astronomy, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Engineering, Earth and Planetary Sciences, Environmental Science",467,15808,9050,58
55,55317715900,"Bock Peter","Bock, P.","Universität Heidelberg, Heidelberg, Germany","Physics and Astronomy, Engineering, Biochemistry Genetics and Molecular Biology, Mathematics",414,16318,8908,58
56,7004406475,"Boden B.",NA,"Universität Bonn, Bonn, Germany","Physics and Astronomy",62,3114,2283,28
57,7102153622,"Bosch H. M.","Bosch, H. H.","Universität Heidelberg, Heidelberg, Germany","Physics and Astronomy, Biochemistry Genetics and Molecular Biology",162,6503,3613,44
58,6601977885,"Bougerolle S.",NA,"The University of British Columbia, Vancouver, Canada","Physics and Astronomy",40,2546,1995,25
59,7004106735,"Brabson Bennet B.","Brabson, B. B.| BRABSON, B.| Brabson, B.","Indiana University, Bloomington, United States","Physics and Astronomy, Mathematics, Earth and Planetary Sciences, Engineering, Social Sciences, Biochemistry Genetics and Molecular Biology, Arts and Humanities",174,5791,4117,38
60,7003960538,"Breüker Horst","Breuker, Horst| Breuker, H.| Breüker, H.","Riken, Wako, Japan","Physics and Astronomy, Engineering, Mathematics, Chemistry, Multidisciplinary, Energy",691,42931,19311,91
61,36039739000,"Brown Robert M.","Brown, R. M.| Brown, R.","Rutherford Appleton Laboratory, , United Kingdom","Physics and Astronomy, Mathematics, Engineering, Materials Science, Energy, Biochemistry Genetics and Molecular Biology, Computer Science, Multidisciplinary",655,37494,20719,80
62,7102714874,"Brun Robert","Brun, R.","European Organization for Nuclear Research, Geneva, Switzerland","Physics and Astronomy, Computer Science",84,4112,2495,38
63,7005207036,NA,NA,NA,,84,1111,1111,1111
64,24583359300,"Burckhart Helfried J.","Burckhart, H. J.| Burckhart, Helfried| Burckhart, H.","European Organization for Nuclear Research, Geneva, Switzerland","Physics and Astronomy, Engineering, Mathematics, Energy, Biochemistry Genetics and Molecular Biology, Computer Science, Chemistry, Multidisciplinary",1088,55877,24155,97
65,7005129581,"Capiluppi P.","Capiluppi, P.","Alma Mater Studiorum Università di Bologna, Bologna, Italy","Physics and Astronomy, Engineering, Mathematics, Computer Science, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Energy",1040,54226,23571,96
66,36042016500,"Carnegie Robert K.","Carnegie, R. K.| Carnegie, R.| Carnegie, Robert","Carleton University, Ottawa, Canada","Physics and Astronomy, Engineering, Biochemistry Genetics and Molecular Biology, Computer Science, Mathematics",451,17403,9791,60
67,36049804800,"Carter A. A.","Carter, A.","Queen Mary, University of London, London, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Materials Science, Chemistry, Multidisciplinary",800,45083,23425,89
68,35354020600,"Carter John R.","Carter, J. R.| Carter, John| Carter, J.","University of Witwatersrand, Johannesburg, South Africa","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Materials Science, Chemistry, Multidisciplinary",1209,59306,26480,99
69,36044991100,"Chang C. Y.","Chang-, C. Y.","University of Maryland, College Park, United States","Physics and Astronomy, Engineering, Biochemistry Genetics and Molecular Biology, Mathematics",399,16232,8737,57
70,7103267315,"Charlton David G.","Charlton, D. G.| Citterio, M.| Charlton, David G.| Cavalli-Sforza, M.| Cinca, D.| Colas, J.| Charlton, Dave| Charlton, David| Chapleau, B.| Charlton, D.| Chekanov, S.| Chareyre, E.","University of Birmingham, Birmingham, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Multidisciplinary, Energy, Computer Science, Biochemistry Genetics and Molecular Biology, Medicine, Chemistry",1046,50185,22394,98
71,7401877961,"Clarke Peter E.L.L.","Clarke, P. E.L.L.| Clarke, Peter| Clarke, P.| Clarke, P. E.L.| Clarke, P. P.E.L.| Clarke, P. E.","University of Edinburgh, Edinburgh, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Materials Science, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Energy",852,30025,13359,74
72,7401818327,"Cohen Iuliana","Cohen, I.","Tel Aviv University, Tel Aviv-Yafo, Israel","Physics and Astronomy, Biochemistry Genetics and Molecular Biology",352,15858,8354,59
73,7402106067,"Collins W. J.",NA,"University of Cambridge, Cambridge, United Kingdom","Physics and Astronomy",67,3093,1745,32
74,7101824813,"Conboy J. E.","Conboy, J.","Culham Lab, Abingdon, United Kingdom","Physics and Astronomy, Energy, Biochemistry Genetics and Molecular Biology, Engineering, Materials Science",312,12276,6500,54
75,35417293100,"Cooper Martin D.","Cooper, Martin| Cooper, M.| Cooper, M. D.","Los Alamos National Laboratory, Los Alamos, United States","Physics and Astronomy, Engineering, Energy, Mathematics, Biochemistry Genetics and Molecular Biology, Materials Science, Multidisciplinary",168,6579,4648,41
76,8046915500,"Couch M.",NA,"University of Birmingham, Birmingham, United Kingdom","Physics and Astronomy",57,2961,1829,32
77,7003494674,"Coupland Malcolm","Coupland, M.","Birkbeck University of London, London, United Kingdom","Physics and Astronomy",141,6105,3725,43
78,56448205100,"Cuffiani Marco","Cuffiani, M.","Istituto Nazionale di Fisica Nucleare, Sezione di Bologna, Bologna, Italy","Physics and Astronomy, Engineering, Mathematics, Materials Science, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Computer Science",1271,56518,23779,95
79,7005698683,NA,NA,NA,,1271,1111,1111,1111
80,7006944872,"Dallavalle G. Marco","Dallavalle, G. M.","Istituto Nazionale di Fisica Nucleare, Sezione di Bologna, Bologna, Italy","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Computer Science",1258,57321,24506,96
81,55439799100,"de Jong Sijbrand J.","De Jong, Sijbrand| De Jong, S.| de Jong, Sijbrand| de Jong, S.| De Jong, S. J.| de Jong, S. J.","FOM-Institute of Subatomic Physics - NIKHEF, Amsterdam, Netherlands","Physics and Astronomy, Mathematics, Earth and Planetary Sciences, Multidisciplinary, Biochemistry Genetics and Molecular Biology, Chemistry, Materials Science",770,33517,16056,79
82,22960459100,"Debu Pascal","Debu, P.","CEA Saclay, Gif-sur-Yvette, France","Physics and Astronomy, Chemistry, Engineering",127,6217,4463,41
83,7006386436,"del Pozo L. A.","Del Pozo, L. A.| Del Pozo, L.","University of California, Riverside, Riverside, United States","Physics and Astronomy, Biochemistry Genetics and Molecular Biology",201,7864,4564,47
84,35227152100,"Deninno Matthew M.","Deninno, M. M.| DeNinno, Matthew| Deninno, M.","Istituto Nazionale di Fisica Nucleare, Sezione di Bologna, Bologna, Italy","Physics and Astronomy, Mathematics, Engineering, Materials Science, Chemistry, Biochemistry Genetics and Molecular Biology, Chemical Engineering",783,34385,16924,88
85,7003805430,"Dieckmann Andreas","Dieckmann, A.","Universität Bonn, Bonn, Germany","Physics and Astronomy, Engineering, Earth and Planetary Sciences",156,7045,4044,45
86,8046919200,"Dittmar Michael","Dittmar, M.","ETH Zürich, Zurich ZH,, Switzerland","Physics and Astronomy, Engineering, Mathematics, Environmental Science, Medicine, Earth and Planetary Sciences, Multidisciplinary, Energy, Health Professions",1244,56598,24416,97
87,7103007423,"Dixit Madhu S.","Dixit, M. S.| Dixit, M.| Dixit, Madhu","Carleton University, Ottawa, Canada","Physics and Astronomy, Engineering, Energy, Computer Science, Biochemistry Genetics and Molecular Biology, Medicine, Mathematics, Materials Science, Health Professions, Chemical Engineering",402,13902,7601,57
88,36046804800,"Duchovni Ehud","Duchovni, E.| Dubreuil, E.","Weizmann Institute of Science Israel, Rehovot, Israel","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Medicine, Computer Science",918,46506,22341,96
89,34569623400,"Duckeck Guenter","Duckeck, Günter| DuckecK, G.| Duckeck, G.","Ludwig-Maximilians-Universität München, Munich, Germany","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Chemistry",1197,55617,23345,96
90,7006052153,"Duerdoth Ian P.","Duerdoth, I. P.| Duerdoth, Ian| Duerdoth, I.","University of Manchester, Manchester, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Chemistry, Social Sciences",751,41238,22320,81
91,7004986822,"Dumas D. J.P.","Dumas, D. J.| Dumas, D.","Carleton University, Ottawa, Canada","Physics and Astronomy, Mathematics",146,7521,5051,47
92,35227214700,NA,NA,NA,,146,1111,1111,1111
93,7003581515,"Elcombe P. A.","Elcombe, P.","University of Cambridge, Cambridge, United Kingdom","Physics and Astronomy",132,6179,3659,45
94,35353270500,"Estabrooks P. G.","Estabrooks, P.| Estabrooks, P. O.","Carleton University, Ottawa, Canada","Physics and Astronomy, Engineering, Biochemistry Genetics and Molecular Biology, Energy",363,13966,7700,57
95,7007013278,"Etzion Erez","Etzion, E.","Tel Aviv University, Tel Aviv-Yafo, Israel","Physics and Astronomy, Engineering, Mathematics, Computer Science, Medicine, Energy, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Materials Science, Chemistry, Earth and Planetary Sciences",1244,55040,23442,96
96,15135600900,"Fabbri Fabrizio","Fabbri, F.","Istituto Nazionale di Fisica Nucleare, Sezione di Bologna, Bologna, Italy","Physics and Astronomy, Engineering, Biochemistry Genetics and Molecular Biology, Medicine, Mathematics, Multidisciplinary",411,17055,9649,58
97,7004732110,NA,NA,NA,,411,1111,1111,1111
98,36046640300,NA,NA,NA,,411,1111,1111,1111
99,7103154820,"Fong Douglas G.","Fong, D.| Fong, D. G.","University of Maryland, College Park, United States","Physics and Astronomy, Biochemistry Genetics and Molecular Biology",279,11009,5955,54
100,7006580739,NA,NA,NA,,279,1111,1111,1111
101,35355436300,"Gaidot A.",NA,"Institut de Recherche sur les Lois Fondamentales de l'Univers, Gif-sur-Yvette, France","Physics and Astronomy, Mathematics, Engineering, Biochemistry Genetics and Molecular Biology, Energy, Computer Science",592,24654,12542,74
102,7004094584,"Ganel Opher","Ganel, O.","NASA Goddard Space Flight Center, Greenbelt, United States","Physics and Astronomy, Earth and Planetary Sciences, Mathematics, Engineering, Materials Science, Computer Science, Energy, Multidisciplinary",262,11443,7352,56
103,36041136800,"Gary J. William","Gary, J. W.","University of California, Riverside, Riverside, United States","Physics and Astronomy, Mathematics, Engineering, Multidisciplinary, Energy, Biochemistry Genetics and Molecular Biology",1850,79674,32201,113
104,7102850149,"Gascon Jules","Gascon, J.","Niels Bohr Institute, Copenhagen, Denmark","Physics and Astronomy, Biochemistry Genetics and Molecular Biology, Engineering, Energy",295,11634,6219,54
105,7006301138,"McGowan R. F.",NA,"University of Manchester, Manchester, United Kingdom","Physics and Astronomy",45,2707,1998,25
106,7005844327,"Geddes Neil I.","Geddes, Neil| Geddes, N. I.| Geddes, N.","Rutherford Appleton Laboratory, , United Kingdom","Physics and Astronomy, Mathematics, Computer Science, Engineering, Materials Science, Biochemistry Genetics and Molecular Biology, Social Sciences, Earth and Planetary Sciences",402,21150,12672,64
107,36044578700,"Geich-Gimbel C. H.","Geich-Gimbel, C.| Geich-Gimbel, Ch| Geich-Gimbel, Ch H.","Universität Bonn, Bonn, Germany","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Chemistry, Energy, Multidisciplinary",1086,58016,25652,99
108,7004249217,"Gensler S. W.",NA,"University of Chicago, Chicago, United States","Physics and Astronomy, Biochemistry Genetics and Molecular Biology",151,7293,3949,48
109,7005038763,"Gentit François Xavier","Gentit, F. Z.| Gentit, F. X.","Institut de Recherche sur les Lois Fondamentales de l'Univers, Gif-sur-Yvette, France","Physics and Astronomy, Mathematics, Engineering, Energy, Biochemistry Genetics and Molecular Biology, Earth and Planetary Sciences, Multidisciplinary",310,25631,17350,64
110,55549857900,"Giacomelli Giorgio Maltoni","Giacomelli, G.| Giacomelli, G. M.| Giacomelli, G. Maltoni| Giacomelli, Giorgio","Alma Mater Studiorum Università di Bologna, Bologna, Italy","Physics and Astronomy, Engineering, Mathematics, Earth and Planetary Sciences, Biochemistry Genetics and Molecular Biology, Environmental Science, Medicine, Agricultural and Biological Sciences, Multidisciplinary, Materials Science, Energy, Pharmacology Toxicology and Pharmaceutics",631,22550,12645,72
111,7101854947,NA,NA,NA,,631,1111,1111,1111
112,35354976200,"Gibson W. R.",NA,"Queen Mary, University of London, London, United Kingdom","Physics and Astronomy, Biochemistry Genetics and Molecular Biology, Mathematics, Multidisciplinary",335,15733,8673,62
113,7102052633,"Gillies J. D.","Gillies, J.","Rutherford Appleton Laboratory, , United Kingdom","Physics and Astronomy, Biochemistry Genetics and Molecular Biology",146,9859,6075,50
114,7403090000,"Goldberg Jacques J.","Goldberg, Jacques| Goldberg, J. J.| Goldberg, J.","Technion - Israel Institute of Technology, Haifa, Israel","Physics and Astronomy, Engineering, Mathematics, Computer Science, Biochemistry Genetics and Molecular Biology, Medicine",517,18467,10219,60
115,7006767752,"Goodrick Maurice J.","Goodrick, M. J.| Goodrick, M.| Goodrick, Maurice","University of Cambridge, Cambridge, United Kingdom","Physics and Astronomy, Mathematics, Biochemistry Genetics and Molecular Biology, Medicine",262,13546,8290,54
116,7006125400,"Gorn W.",NA,"University of California, Riverside, Riverside, United States","Physics and Astronomy, Biochemistry Genetics and Molecular Biology, Engineering, Energy, Mathematics",357,16155,9738,58
117,7006985177,NA,NA,NA,,357,1111,1111,1111
118,7005605765,"Grant F. C.",NA,"University of Cambridge, Cambridge, United Kingdom","Physics and Astronomy",57,2938,2167,27
119,7005340180,"Hagemann J.",NA,"Universität Hamburg, Hamburg, Germany","Physics and Astronomy, Engineering",165,7925,4310,47
